"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MX14,MX27,MX31,MX29,MX4,MX26,MX34,MX22,MX19,MX20,MX2,MX15,MX35,MX1,MX28,MX33,MX21,MX42,MX38,MX36,MX32,MX30,MX23,MX18,MX17,MX16,MX11,MX10,MX9,MX8,MX7,MX6,MX5,MX3";"MXOnly-1U-NoLED";34;"MX-NoLED";;;
2;"D35,D26,D13,D43,D42,D41,D40,D39,D38,D37,D36,D34,D33,D32,D31,D30,D29,D28,D27,D25,D24,D23,D22,D21,D20,D19,D18,D17,D16,D15,D14,D12,D11,D10,D9,D8,D7,D6,D5,D4,D3,D2,D1";"D_SOD-123";43;"SOD-123";;;
3;"MX25,MX12";"MXOnly-1.75U-NoLED";2;"MX-NoLED";;;
4;"MX43,MX37,MX44,MX13";"MXOnly-1.25U-NoLED";4;"MX-NoLED";;;
5;"MX24";"MXOnly-1.5U-NoLED";1;"MX-NoLED";;;
6;"U1";"QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm";1;"ATmega32U4-MU";;;
7;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
8;"SW1";"SKQG-1155865";1;"SW_Push";;;
9;"R4,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10k";;;
10;"R2,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22";;;
11;"J1";"JST-SR-4";1;"SM04B-SRSS-TB(LF)(SN)";;;
12;"C7";"C_0805_2012Metric";1;"10uF";;;
13;"C6";"C_0805_2012Metric";1;"1uF";;;
14;"C5,C2,C1";"C_0805_2012Metric";3;"0.1uF";;;
15;"C4,C3";"C_0805_2012Metric";2;"22pF";;;
16;"MX40";"MXOnly-6.25U-ReversedStabilizers-NoLED";1;"MX-NoLED";;;
17;"MX41";"MXOnly-2.25U-ReversedStabilizers-NoLED";1;"MX-NoLED";;;
18;"MX39";"MXOnly-2.75U-ReversedStabilizers-NoLED";1;"MX-NoLED";;;
