Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",113.657564,-218.103910,0.000000,bottom
"C2","0.1uF","C_0805_2012Metric",119.750000,-215.860000,90.000000,bottom
"C3","22pF","C_0805_2012Metric",107.345064,-215.325160,0.000000,bottom
"C4","22pF","C_0805_2012Metric",107.345064,-208.975160,180.000000,bottom
"C5","0.1uF","C_0805_2012Metric",121.507500,-209.220000,0.000000,bottom
"C6","1uF","C_0805_2012Metric",113.652564,-220.103910,0.000000,bottom
"C7","10uF","C_0805_2012Metric",111.250000,-206.325000,90.000000,bottom
"D1","SOD-123","D_SOD-123",102.870000,-182.245000,90.000000,bottom
"D2","SOD-123","D_SOD-123",121.920000,-182.245000,90.000000,bottom
"D3","SOD-123","D_SOD-123",140.970000,-182.245000,90.000000,bottom
"D4","SOD-123","D_SOD-123",160.020000,-182.245000,90.000000,bottom
"D5","SOD-123","D_SOD-123",179.070000,-182.245000,90.000000,bottom
"D6","SOD-123","D_SOD-123",198.120000,-182.245000,90.000000,bottom
"D7","SOD-123","D_SOD-123",217.170000,-182.245000,90.000000,bottom
"D8","SOD-123","D_SOD-123",236.220000,-182.245000,90.000000,bottom
"D9","SOD-123","D_SOD-123",255.270000,-182.245000,90.000000,bottom
"D10","SOD-123","D_SOD-123",274.320000,-182.245000,90.000000,bottom
"D11","SOD-123","D_SOD-123",296.941750,-182.245000,90.000000,bottom
"D12","SOD-123","D_SOD-123",320.914000,-182.245000,90.000000,bottom
"D13","SOD-123","D_SOD-123",105.251250,-201.295000,90.000000,bottom
"D14","SOD-123","D_SOD-123",126.682500,-201.295000,90.000000,bottom
"D15","SOD-123","D_SOD-123",145.732500,-201.295000,90.000000,bottom
"D16","SOD-123","D_SOD-123",164.782500,-201.295000,90.000000,bottom
"D17","SOD-123","D_SOD-123",183.832500,-201.295000,90.000000,bottom
"D18","SOD-123","D_SOD-123",202.882500,-201.295000,90.000000,bottom
"D19","SOD-123","D_SOD-123",221.932500,-201.295000,90.000000,bottom
"D20","SOD-123","D_SOD-123",240.982500,-201.295000,90.000000,bottom
"D21","SOD-123","D_SOD-123",260.032500,-201.295000,90.000000,bottom
"D22","SOD-123","D_SOD-123",279.082500,-201.295000,90.000000,bottom
"D23","SOD-123","D_SOD-123",300.514000,-201.295000,90.000000,bottom
"D24","SOD-123","D_SOD-123",322.739000,-201.295000,90.000000,bottom
"D25","SOD-123","D_SOD-123",103.770000,-223.990000,90.000000,bottom
"D26","SOD-123","D_SOD-123",136.207500,-220.345000,90.000000,bottom
"D27","SOD-123","D_SOD-123",155.257500,-220.345000,90.000000,bottom
"D28","SOD-123","D_SOD-123",174.307500,-220.345000,90.000000,bottom
"D29","SOD-123","D_SOD-123",193.357500,-220.345000,90.000000,bottom
"D30","SOD-123","D_SOD-123",212.407500,-220.345000,90.000000,bottom
"D31","SOD-123","D_SOD-123",231.457500,-220.345000,90.000000,bottom
"D32","SOD-123","D_SOD-123",250.507500,-220.345000,90.000000,bottom
"D33","SOD-123","D_SOD-123",269.557500,-220.345000,90.000000,bottom
"D34","SOD-123","D_SOD-123",288.607500,-220.345000,90.000000,bottom
"D35","SOD-123","D_SOD-123",307.657500,-220.345000,90.000000,bottom
"D36","SOD-123","D_SOD-123",325.120000,-220.345000,90.000000,bottom
"D37","SOD-123","D_SOD-123",125.492250,-239.395000,90.000000,bottom
"D38","SOD-123","D_SOD-123",154.064000,-239.395000,90.000000,bottom
"D39","SOD-123","D_SOD-123",188.595250,-239.395000,90.000000,bottom
"D40","SOD-123","D_SOD-123",226.695250,-239.395000,90.000000,bottom
"D41","SOD-123","D_SOD-123",258.842250,-239.395000,90.000000,bottom
"D42","SOD-123","D_SOD-123",285.036000,-239.395000,90.000000,bottom
"D43","SOD-123","D_SOD-123",304.938750,-239.395000,90.000000,bottom
"R1","22","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",116.722564,-224.170159,270.000000,bottom
"R2","22","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",114.810064,-224.170159,270.000000,bottom
"R3","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.500000,-218.447500,90.000000,bottom
"R4","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.820000,-206.970000,0.000000,bottom
"SW1","SW_Push","SKQG-1155865",109.810000,-225.452500,270.000000,bottom
"U1","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",114.487564,-212.276411,90.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",107.345064,-212.150160,90.000000,bottom
